Year,Month,State,County,Rate
1995,April,Michigan,Washtenaw County,2.8
1995,December,Michigan,Washtenaw County,1.9
1995,July,Michigan,Washtenaw County,3.6
1995,November,Michigan,Washtenaw County,2.1
1994,February,Michigan,Washtenaw County,3.9
1994,October,Michigan,Washtenaw County,2.7
1994,March,Michigan,Washtenaw County,3.9
1994,August,Michigan,Washtenaw County,3.3
1994,May,Michigan,Washtenaw County,3.5
1994,January,Michigan,Washtenaw County,4.3
1994,June,Michigan,Washtenaw County,3.6
1994,September,Michigan,Washtenaw County,3
1994,April,Michigan,Washtenaw County,3.5
1994,December,Michigan,Washtenaw County,2.3
1994,July,Michigan,Washtenaw County,3.8
1994,November,Michigan,Washtenaw County,2.4
1997,February,Michigan,Washtenaw County,2.2
1997,October,Michigan,Washtenaw County,1.6
1997,March,Michigan,Washtenaw County,2.1
1997,August,Michigan,Washtenaw County,1.8
1997,May,Michigan,Washtenaw County,1.9
1997,January,Michigan,Washtenaw County,2.4
1997,June,Michigan,Washtenaw County,2.2
1997,September,Michigan,Washtenaw County,1.8
1997,April,Michigan,Washtenaw County,2
1997,December,Michigan,Washtenaw County,1.7
1997,July,Michigan,Washtenaw County,2.7
1997,November,Michigan,Washtenaw County,1.6
1996,February,Michigan,Washtenaw County,2.4
1996,October,Michigan,Washtenaw County,1.8
1996,March,Michigan,Washtenaw County,2.3
1996,August,Michigan,Washtenaw County,2.2
1996,May,Michigan,Washtenaw County,2.3
1996,January,Michigan,Washtenaw County,2.5
1996,June,Michigan,Washtenaw County,2.4
1996,September,Michigan,Washtenaw County,2
1996,April,Michigan,Washtenaw County,2.1
1996,December,Michigan,Washtenaw County,2
1996,July,Michigan,Washtenaw County,3
1996,November,Michigan,Washtenaw County,1.7
1999,February,Michigan,Washtenaw County,2
1999,October,Michigan,Washtenaw County,1.2
1999,March,Michigan,Washtenaw County,1.6
1999,August,Michigan,Washtenaw County,1.4
1999,May,Michigan,Washtenaw County,1.8
1999,January,Michigan,Washtenaw County,1.9
1999,June,Michigan,Washtenaw County,1.8
1999,September,Michigan,Washtenaw County,1.4
1999,April,Michigan,Washtenaw County,1.5
